Serviço;Operadora;UF;UF_nome;Ano;Indicador;Calculo;Alternativas;Nota;Posição;Ranking
Banda Larga Fixa;Total;AC;Acre;2015;Atendimento Telefônico;Média Indicadores;;5.8;20º;
Banda Larga Fixa;Oi;AC;Acre;2015;Atendimento Telefônico;Média Indicadores;;5.8;2º;
Banda Larga Fixa;Total;AC;Acre;2015;Canais de Atendimento;Média Indicadores;;6.5;20º;
Banda Larga Fixa;Oi;AC;Acre;2015;Canais de Atendimento;Média Indicadores;;6.5;5º;
Banda Larga Fixa;Total;AC;Acre;2015;Capacidade de Resolução;Média Indicadores;;5.41;22º;
Banda Larga Fixa;Oi;AC;Acre;2015;Capacidade de Resolução;Média Indicadores;;5.41;8º;
Banda Larga Fixa;Oi;AC;Acre;2015;Cobrança;Média Indicadores;;6.54;10º;1
Banda Larga Fixa;Total;AC;Acre;2015;Cobrança;Média Indicadores;;6.54;24º;
Banda Larga Fixa;Oi;AC;Acre;2015;Funcionamento;Média Indicadores;;5.87;17º;1
Banda Larga Fixa;Total;AC;Acre;2015;Funcionamento;Média Indicadores;;5.87;25º;
Banda Larga Fixa;Oi;AC;Acre;2015;Oferta e Contratação;Média Indicadores;;6.18;7º;1
Banda Larga Fixa;Total;AC;Acre;2015;Oferta e Contratação;Média Indicadores;;6.18;24º;
Banda Larga Fixa;Total;AC;Acre;2015;Reparo e Instalação;Média Indicadores;;6.52;15º;
Banda Larga Fixa;Oi;AC;Acre;2015;Reparo e Instalação;Média Indicadores;;6.52;5º;
Banda Larga Fixa;Oi;AC;Acre;2015;Satisfação Geral;Média Indicadores;;6.22;8º;1
Banda Larga Fixa;Total;AC;Acre;2015;Satisfação Geral;Média Indicadores;;6.22;23º;
Telefonia Fixa;Total;AC;Acre;2015;Atendimento Telefônico;Média Indicadores;;6.14;10º;
Telefonia Fixa;Claro;AC;Acre;2015;Atendimento Telefônico;Média Indicadores;;6.94;1º;
Telefonia Fixa;Oi;AC;Acre;2015;Atendimento Telefônico;Média Indicadores;;5.78;11º;
Telefonia Fixa;Total;AC;Acre;2015;Canais de Atendimento;Média Indicadores;;6.99;8º;
Telefonia Fixa;Claro;AC;Acre;2015;Canais de Atendimento;Média Indicadores;;7.5;2º;
Telefonia Fixa;Oi;AC;Acre;2015;Canais de Atendimento;Média Indicadores;;6.77;6º;
Telefonia Fixa;Total;AC;Acre;2015;Capacidade de Resolução;Média Indicadores;;5.89;12º;
Telefonia Fixa;Claro;AC;Acre;2015;Capacidade de Resolução;Média Indicadores;;6.53;2º;
Telefonia Fixa;Oi;AC;Acre;2015;Capacidade de Resolução;Média Indicadores;;5.6;12º;
Telefonia Fixa;Claro;AC;Acre;2015;Cobrança;Média Indicadores;;7.38;21º;1
Telefonia Fixa;Oi;AC;Acre;2015;Cobrança;Média Indicadores;;6.61;17º;2
Telefonia Fixa;Total;AC;Acre;2015;Cobrança;Média Indicadores;;6.85;21º;
Telefonia Fixa;Claro;AC;Acre;2015;Funcionamento;Média Indicadores;;7.85;15º;1
Telefonia Fixa;Oi;AC;Acre;2015;Funcionamento;Média Indicadores;;7.46;15º;2
Telefonia Fixa;Total;AC;Acre;2015;Funcionamento;Média Indicadores;;7.58;20º;
Telefonia Fixa;Claro;AC;Acre;2015;Oferta e Contratação;Média Indicadores;;7.14;12º;1
